basin_id,basin_name,region,basin_area_km2,cell_count,year,net_water_demand_deficit_mm_yr,groundwater_storage_mm,glacier_storage_mm_we
1316,Rufiji,AF,177135.3,56,1962,0.15718209807361874,55.23322716465703,0.0
1317,Ruvu,AF,17615.9,6,1962,0.08247440457344055,33.600930054982506,0.0
1318,Ruvuma (Also Rovuma),AF,164101.6,54,1962,0.05594605361370163,72.4646833561085,0.0
1319,Save,AF,102591.1,35,1962,0.786604097451676,16.019080223355974,0.0
1320,Tana,AF,95249.0,31,1962,2.107102220505476,44.51982325892295,19080.655844892975
1321,Tsiribihina,AF,48011.4,16,1962,14.359924959368072,75.96875238418579,0.0
1322,Umba,AF,6703.5,3,1962,0.0,13.804562409718832,0.0
1323,Umbeluzi (Also Umbuluzi),AF,10344.3,4,1962,3.4868352115154266,11.354238629341125,0.0
1324,Uthukela,AF,29195.8,10,1962,4.250497442483902,3.52891743183136,0.0
1325,Zambezi,AF,1378097.3,462,1962,0.30125225202926037,47.72187573208985,0.0
1901,Abhe Bad (Also Abhe Bid Hayk),AF,119971.1,40,1962,1.949951990549876,15.579777771234513,0.0
1902,Chad,AF,2471047.1,829,1962,1.6199908755483268,71.82723574328028,0.0
1903,Chergui,AF,48908.1,18,1962,0.2172803431749344,12.212246994487941,0.0
1904,Chew Bahir (Also Lake Stefanie),AF,22520.1,8,1962,0.009862311929464341,34.31827485561371,0.0
1905,Cuvelai,AF,174238.6,56,1962,1.1326985359191895,13.198098466598562,0.0
1906,Daoura,AF,52431.5,20,1962,2.447843034658581,1.4863044038414954,0.0
1907,Djerid,AF,59021.0,23,1962,0.9116917431561483,27.215375074318477,0.0
1908,Guir,AF,120043.7,45,1962,1.6969066741876304,0.8365607850253582,0.0
1909,Hodna,AF,34051.7,13,1962,6.066178179938685,4.14186808615923,0.0
1910,Lake Natron,AF,16235.1,4,1962,nan,24.975770632425945,0.0
1911,Lake Turkana,AF,181232.0,59,1962,1.9482016007635086,71.62921275352609,0.0
1912,Melrhir,AF,146405.0,56,1962,2.267326635494828,-30.72825723513961,0.0
1913,Okavango (Also Cubango),AF,692221.9,240,1962,1.1512054250236938,16.168980118836117,0.0
1914,Rharsa,AF,114355.5,46,1962,4.848576111936321,-21.249861988821067,0.0
1915,Rukwa,AF,79610.8,28,1962,0.2687065818172414,66.63454427037921,0.0
2101,Alazeya,AS,64313.4,62,1962,0.0,1.6242637369367812,0.0
2102,Anabar,AS,89819.3,87,1962,0.867111937370432,1.6329541004621067,0.0
2103,Indigirka,AS,341233.8,283,1962,0.10006898702687092,1.488122693717186,44554.00182589644
2104,Khatanga,AS,300827.5,280,1962,0.7381244606013179,2.011319742290252,23570.482307471793
2105,Kolyma,AS,652957.5,499,1962,0.3425074898188526,1.8049115033211445,0.0
2106,Lena,AS,2453648.6,1661,1962,2.1648093340078782,5.089827274789616,40543.202104039425
2107,Nadym,AS,54542.7,40,1962,1.4501172548009302,14.760290575027465,0.0
2108,Ob,AS,3040604.1,1796,1962,11.036632712726583,18.93704435051887,48151.6023050873
2109,Olenek,AS,217723.1,199,1962,3.449313025458976,1.5182892154488299,0.0
2110,Omoloy,AS,38863.0,36,1962,0.8449280703623246,1.1666974447391651,40743.433731697354
2111,Palyavaam,AS,31402.0,28,1962,0.00045581562099633393,3.093063314755758,0.0
2112,Popigay,AS,48934.4,50,1962,0.49788320706407985,1.5013150428903514,0.0
2113,Pur,AS,111253.2,86,1962,0.6731298160716722,15.673279767812685,0.0
2114,Pyasina,AS,169627.5,179,1962,4.4494437070640425,4.297825447444258,23055.07646948
2115,Taz,AS,150290.4,118,1962,0.3341204797790354,21.54544083142685,0.0
2116,Yana,AS,233391.1,193,1962,1.45156035064896,1.2308963112128797,27361.04582517556
2117,Yenisey,AS,2505671.4,1557,1962,2.7783435615885086,17.359714989853472,22793.250291659417
2201,Orontes,EU,46945.7,20,1962,45.37670770287514,18.100169959821198,0.0
2301,Brahmani,AS,51413.7,19,1962,43.23591613142114,52.3609878138492,0.0
2302,Brahmaputra,AS,540782.5,202,1962,35.57180537008875,53.26166720426262,53025.38999993669
2303,Cauvery,AS,78369.4,26,1962,176.10241477306073,-364.3066118335724,0.0
